ROW,ACADEMIC_PERIOD,STUDENT_LEVEL,MODALITY_DESC
649,202310,UG,Online
650,202310,UG,Online
651,202310,UG,Online
652,202310,GR,Face-To-Face
653,202310,UG,Online
654,202310,UG,Online
655,202310,GR,Face-To-Face
656,202310,UG,Online
657,202310,UG,Both
658,202310,GR,Online
659,202310,UG,Online
660,202310,UG,Both
661,202310,GR,Online
662,202310,UG,Online
663,202310,GR,Face-To-Face
664,202310,UG,Online
665,202310,UG,Online
666,202310,UG,Online
667,202310,UG,Both
668,202310,UG,Online
669,202310,UG,Online
670,202310,UG,Online
671,202310,GR,Online
672,202310,GR,Online
673,202310,GR,Online
674,202310,GR,Face-To-Face
675,202310,UG,Online
676,202310,UG,Face-To-Face
677,202310,GR,Both
678,202310,UG,Online
679,202310,GR,Online
680,202310,UG,Online
681,202310,GR,Online
682,202310,UG,Online
683,202310,GR,Online
684,202310,GR,Online
685,202310,GR,Face-To-Face
686,202310,GR,Online
687,202310,GR,Online
688,202310,GR,Face-To-Face
689,202310,UG,Online
690,202310,UG,Online
691,202310,UG,Online
692,202310,GR,Face-To-Face
693,202310,UG,Face-To-Face
694,202310,UG,Online
695,202310,GR,Online
696,202310,GR,Online
697,202310,UG,Both
698,202310,GR,Face-To-Face
699,202310,GR,Face-To-Face
700,202310,GR,Online
701,202310,GR,Both
702,202310,UG,Online
703,202310,UG,Online
704,202310,GR,Online
705,202310,UG,Online
706,202310,GR,Face-To-Face
707,202310,UG,Online
708,202310,GR,Online
709,202310,UG,Face-To-Face
710,202310,GR,Online
711,202310,UG,Online
712,202310,GR,Online
713,202310,UG,Face-To-Face
714,202310,UG,Both
715,202310,UG,Online
716,202310,UG,Online
717,202310,GR,Online
718,202310,UG,Online
719,202310,UG,Online
720,202310,UG,Both
721,202310,GR,Face-To-Face
722,202310,GR,Face-To-Face
723,202310,GR,Online
724,202310,UG,Online
725,202310,GR,Online
726,202310,UG,Face-To-Face
727,202310,GR,Online
728,202310,GR,Online
729,202310,UG,Face-To-Face
730,202310,GR,Online
731,202310,UG,Both
732,202310,UG,Both
733,202310,UG,Online
734,202310,UG,Online
735,202310,UG,Online
736,202310,UG,Face-To-Face
737,202310,UG,Online
738,202310,UG,Online
739,202310,UG,Online
740,202310,GR,Online
741,202310,UG,Face-To-Face
742,202310,UG,Online
743,202310,GR,Online
744,202310,UG,Online
745,202310,UG,Both
746,202310,UG,Both
747,202310,GR,Face-To-Face
748,202310,GR,Online
749,202310,GR,Both
750,202310,UG,Online
751,202310,UG,Online
752,202310,GR,Online
753,202310,GR,Online
754,202310,GR,Online
755,202310,UG,Online
756,202310,GR,Face-To-Face
757,202310,UG,Online
758,202310,GR,Online
759,202310,UG,Online
760,202310,GR,Online
761,202310,GR,Online
762,202310,GR,Face-To-Face
763,202310,UG,Online
764,202310,GR,Online
765,202310,UG,Online
766,202310,GR,Online
767,202310,UG,Face-To-Face
768,202310,UG,Online
769,202310,UG,Online
770,202310,UG,Both
771,202310,GR,Online
772,202310,GR,Face-To-Face
773,202310,GR,Face-To-Face
774,202310,GR,Online
775,202310,UG,Online
776,202310,GR,Online
777,202310,GR,Online
778,202310,GR,Face-To-Face
779,202310,GR,Face-To-Face
780,202310,UG,Online
781,202310,UG,Face-To-Face
782,202310,GR,Online
783,202310,GR,Face-To-Face
784,202310,UG,Online
785,202310,UG,Online
786,202310,UG,Online
787,202310,UG,Online
788,202310,GR,Both
789,202310,UG,Online
